"","Constituency","Candidate","election","total_stops","courtesy_call","rally","interaction","official_business"
"508","Tema West","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"509","Tempane","John Mahama",2020,1,0,0,1,0
"510","Tempane","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"511","Tolon","John Mahama",2020,1,0,0,1,0
"512","Trobu","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"513","Twifo Atii Morkwaa","Nana Addo Dankwa Akuffo Addo",2020,2,0,1,0,1
"514","Upper Denkyira East","John Mahama",2020,2,1,0,1,0
"515","Upper Denkyira East","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"516","Upper Denkyira West","John Mahama",2020,1,0,1,0,0
"517","Upper Denkyira West","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"518","Upper Denkyira West","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"519","Upper Manya","John Mahama",2020,1,0,0,1,0
"520","Upper Manya","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"521","Upper West Akim","John Mahama",2020,1,0,0,1,0
"522","Upper West Akim","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"523","Upper West Akim","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"524","Wa Central","John Mahama",2016,1,0,1,0,0
"525","Wa Central","John Mahama",2020,3,1,0,2,0
"526","Wa Central","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"527","Wa East","John Mahama",2020,2,1,0,1,0
"528","Wa East","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"529","Wa East","Nana Addo Dankwa Akuffo Addo",2020,1,1,0,0,0
"530","Wa West","John Mahama",2020,1,1,0,0,0
"531","Walewale","John Mahama",2020,1,0,0,1,0
"532","Walewale","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"533","Wassa East","John Mahama",2020,1,0,0,1,0
"534","Wassa East","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"535","Weija","John Mahama",2020,1,1,0,0,0
"536","Weija","Nana Addo Dankwa Akuffo Addo",2016,2,0,1,1,0
"537","Weija","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,1,0
